codReceita,txtDescricaoReceita,modifiedMode,usuarioOperacao
1000000000000000000000000,RECEITAS CORRENTES,5,
1100000000000000000000000,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",5,
1110000000000000000000000,IMPOSTOS,5,
1111000000000000000000000,IMPOSTOS SOBRE O COMÉRCIO EXTERIOR,5,
1111010000000000000000000,IMPOSTO SOBRE A IMPORTAÇÃO,5,
1111011000000000000000000,IMPOSTO SOBRE A IMPORTAÇÃO,5,
1111020000000000000000000,IMPOSTO SOBRE A EXPORTAÇÃO,5,
1111021000000000000000000,IMPOSTO SOBRE A EXPORTAÇÃO,5,
1112000000000000000000000,IMPOSTOS SOBRE O PATRIMÔNIO,5,
1112010000000000000000000,IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL,5,
1112011000000000000000000,IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL - MUNICÍPIOS CONVENIADOS,5,
1112012000000000000000000,IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL - MUNICÍPIOS NÃO-CONVENIADOS,5,
1113000000000000000000000,IMPOSTOS SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA,5,
1113010000000000000000000,IMPOSTO SOBRE A RENDA DE PESSOA FÍSICA - IRPF,5,
1113011000000000000000000,IMPOSTO SOBRE A RENDA DE PESSOA FÍSICA - IRPF,5,
1113020000000000000000000,IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA - IRPJ - LÍQUIDA DE INCENTIVOS,5,
1113021000000000000000000,IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA - IRPJ - LÍQUIDA DE INCENTIVOS,5,
1113030000000000000000000,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE,5,
1113031000000000000000000,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO,5,
1113031100000000000000000,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PRINCIPAL,5,
1113031101000000000000000,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PRINCIPAL - PF,5,
1113031101000000001100000,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PF,5,
1113031101000000001101000,Imposto sobre a Renda - Retido na Fonte - Trabalho - PF,5,
1113031101000000001109000,TOTAL DEDUÇÕES DO IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PF,5,
1113031101000000001109001,Deduções do Imposto sobre a Renda - Retido na Fonte - Trabalho - PF,5,
1113031200000000000000000,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - MULTAS E JUROS,5,
1113031201000000000000000,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PF - MULTAS E JUROS,5,
1113031201000000001100000,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PF - MULTAS E JUROS,5,
1113031201000000001101000,Imposto sobre a Renda - Retido na Fonte - Trabalho - PF - Multas e Juros,5,
1113031201000000001109000,TOTAL DE DEDUÇÕES DO IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PF - MULTAS E JUROS,5,
1113031201000000001109001,Deduções do Imposto sobre a Renda - Retido na Fonte - Trabalho - PF - Multas e Juros,5,
1113032000000000000000000,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - CAPITAL,5,
1113032100000000000000000,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - CAPITAL - PRINCIPAL,5,
1113032101000000000000000,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - CAPITAL - PRINCIPAL - PF,5,
1113032101000000001100000,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - CAPITAL - PRINCIPAL - PF,5,
1113032101000000001101000,Imposto sobre a Renda - Retido na Fonte - Capital - PF,5,
1113032101000000001109000,TOTAL DEDUÇÕES DO IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - CAPITAL - PF,5,
1113032101000000001109001,Deduções do Imposto sobre a Renda - Retido na Fonte - Capital - PF,5,
1113033000000000000000000,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - REMESSA AO EXTERIOR,5,
1113033100000000000000000,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - REMESSA AO EXTERIOR - PRINCIPAL,5,
1113033101000000000000000,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - REMESSA AO EXTERIOR - PRINCIPAL - PF,5,
1113033101000000001100000,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - REMESSA AO EXTERIOR - PF,5,
1113033101000000001101000,Imposto sobre a Renda - Retido na Fonte - Remessa ao Exterior - PF,5,
1113033101000000001109000,TOTAL DE DEDUÇÕES DO IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - REMESSA AO EXTERIOR - PF,5,
1113033101000000001109001,Deduções do Imposto sobre a Renda - Retido na Fonte - Remessa ao Exterior - PF,5,
